psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
100674,2,3, ,43,3,1,7,2
100677,2,1,1,41,3,1,8,2
100678,2,9,1,30,5,1,4,2
100680,2,2,1,66,7,1,7,2
100681,1,3,88,70,5,1,99,2
100682,2,3, ,99,7,1,99,2
100684,2,3, ,25,9,9,99,9
100690,2,3, ,53,6,1,5,2
100702,1,2,1,44,6,1,8,2
100704,2,3,1,46,6,1,99,2
100707,2,2,1,61,6,1,6,2
100711,1,1, ,72,3,1,99,2
100718,2,3,98,61,5,4,6,9
100723,1,3, ,90,3,1,2,2
100727,1,3, ,40,2,2,6,2
100740,2,3,1,40,5,1,7,2
100745,2,3, ,69,3,1,6,2
100747,1,2, ,55,3,1,8,2
100748,1,2,1,60,7,1,8,2
100751,1,2, ,60,5,1,5,2
100752,2,2,1,32,6,1,8,2
100755,2,3, ,86,3,1,3,2
100761,2,3,1,43,3,1,98,1
100762,2,4, ,53,3,1,6,2
100767,1,1, ,81,7,1,8,2
100771,1,2, ,57,6,1,6,2
100772,2,5,1,52,5,1,1,2
100777,1,3, ,55,3,1,7,2
100792,2,3, ,74,3,1,3,2
100796,2,2, ,69,3,1,7,2
100800,2,3, ,80,3,1,3,2
100806,1,2, ,74,2,1,2,2
100807,2,5, ,76,5,2,2,2
100808,1,4, ,44,2,4,3,1
100819,1,3,1,18,2,2,1,2
100826,1,4, ,81,5,2,1,2
100827,2,2, ,35,5,1,99,2
100830,2,3,1,57,3,1,4,2
100833,1,3, ,50,6,1,6,2
100835,1,3, ,48,3,2,1,2
100837,2,5, ,73,5,1,99,2
100847,2,1,1,66,7,1,5,2
100853,2,3,1,59,3,1,4,2
100856,2,2,88,41,5,1,98,2
100862,2,3, ,50,7,9,99,2
100872,1,3, ,59,6,1,99,2
100875,2,1, ,74,5,1,2,2
100877,2,2,2,24,6,2,9,2
100878,1,3,1,39,5,1,6,2
100887,1,3, ,79,2,1,2,2
100888,2,3, ,71,3,1,3,2
100892,2,2, ,65,5,1,5,2
100897,2,4, ,70,5,1,3,2
100898,1,2, ,50,2,1,2,2
100899,2,3, ,27,2,1,98,2
100900,2,5, ,81,3,1,99,8
100901,1,9, ,65,2,1,99,2
100904,2,2, ,89,3,2,2,2
100906,2,2, ,61,6,1,99,2
100907,2,3,1,48,5,1,4,2
100908,1,4,1,48,3,1,6,2
100913,1,3, ,67,6,1,99,2
100920,1,4,99,35,7,9,99,9
100924,1,1, ,74,1,4,1,2
100926,2,4, ,76,1,1,1,1
100934,2,4, ,79,1,1,98,1
100936,2,3, ,65,7,1,4,2
100946,2,3,1,62,6,1,5,2
100948,2,4, ,32,1,1,3,1
100952,1,4, ,79,1,4,98,1
100953,1,3, ,54,3,1,4,2
100956,1,2,9,33,1,2,2,1
100957,2,1,99,50,6,1,99,2
100961,1,3,88,26,3,2,1,1
100964,2,5,1,60,7,1,3,2
