psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
102941,2,5, ,30,3,1,1,1
102943,1,2,1,71,7,1,4,2
102944,1,1,88,67,7,1,99,2
102953,2,4, ,69,3,1,5,2
102964,2,3,1,34,6,1,7,2
102966,1,1,1,34,7,1,8,2
102971,1,5, ,81,3,1,99,9
102972,2,3, ,72,2,1,99,2
102973,1,4, ,56,3,1,5,2
102982,2,2,1,51,3,1,7,2
102987,1,4, ,52,3,1,6,2
102998,1,4, ,41,6,1,99,2
103003,2,4,1,40,7,1,8,2
103007,2,2, ,58,3,9,98,2
103008,2,3, ,55,2,1,1,2
103011,2,1, ,69,5,1,6,2
103012,2,4, ,82,6,1,98,2
103014,2,1, ,66,5,1,5,2
103019,2,2,1,24,6,3,8,2
103021,2,3,1,63,7,1,5,2
103025,1,2, ,53,2,2,99,2
103027,1,1, ,61,3,1,6,2
103034,1,3,1,38,3,2,7,2
103038,2,3, ,68,7,1,4,2
103039,1,3, ,62,7,1,6,2
103046,2,3, ,69,5,1,99,2
103049,1,2, ,62,5,1,99,2
103064,2,3, ,70,3,1,1,2
103066,2,3, ,77,5,1,3,2
103068,1,2,1,69,6,1,7,2
103071,1,3, ,39,5,4,3,2
103075,2,3, ,45,6,1,9,2
103076,2,4, ,69,3,1,99,2
103089,1,2, ,78,7,1,2,2
103095,2,1,1,45,2,1,2,2
103101,2,4, ,59,6,2,3,2
103108,1,2,5,38,6,1,7,2
103118,2,2,1,36,6,1,7,2
103123,2,3,1,30,3,2,4,2
103124,2,2, ,50,7,1,8,1
103125,1,3, ,73,7,1,7,2
103127,2,2,99,47,7,1,6,2
103136,1,4,1,22,5,1,4,1
103138,1,2,99,99,7,9,99,2
103140,2,3, ,31,1,1,1,1
103143,1,3, ,52,3,1,6,2
103144,1,2, ,61,6,2,98,1
103147,2,2, ,83,3,1,3,2
103148,2,3,1,28,5,1,99,2
103149,2,2, ,87,5,1,4,2
103151,1,3, ,64,3,1,6,2
103153,2,2, ,45,3,1,5,2
103154,2,5,1,77,7,1,99,2
103157,1,4, ,54,3,2,2,2
103160,2,3, ,72,3,1,98,2
103178,2,2,1,55,5,1,4,2
103180,2,2,88,50,5,1,5,2
103183,1,2, ,61,3,1,2,2
103184,2,3, ,89,3,1,98,2
103187,2,1, ,82,7,1,6,2
103188,1,3, ,81,1,1,99,2
103195,2,3, ,75,3,1,99,2
103200,2,3, ,88,5,1,99,2
103202,2,2,1,71,1,1,3,2
103205,2,3, ,77,3,1,2,2
103208,1,3, ,64,2,1,2,2
103211,2,2, ,63,5,1,3,2
103213,2,3, ,82,3,1,2,2
103216,2,4, ,71,5,1,3,2
103219,2,4, ,86,3,1,2,2
103221,2,4,1,44,5,1,2,2
103222,2,3,1,30,5,1,2,2
103223,1,2, ,90,5,1,4,2
103224,1,2,1,32,6,1,9,2
103226,2,2,1,27,3,1,6,2
103232,1,2, ,53,5,1,8,2
103233,2,1,1,37,6,1,98,2
103237,2,1, ,69,6,1,98,2
103239,2,1,12,60,5,1,3,2
103241,2,2, ,85,3,1,1,2
103245,1,2,1,71,7,1,8,2
103251,2,4,1,21,5,2,2,2
103262,2,3, ,77,6,9,99,9
103263,1,1,1,35,3,1,7,2
103274,1,2,1,53,6,1,8,2
103282,1,2,1,52,9,1,8,2
103286,2,4, ,55,7,1,4,2
103290,2,5, ,85,2,1,98,2
103301,1,5, ,23,2,2,1,2
103304,2,2,1,47,6,1,6,2
103305,2,4,1,26,3,2,6,2
103310,2,3, ,82,3,1,99,2
103311,2,5, ,73,1,2,3,1
103317,2,3, ,40,7,1,7,2
103318,1,3,1,49,5,1,6,2
103329,1,2, ,88,1,1,99,2
103330,1,5, ,62,3,9,99,9
103332,1,2, ,60,3,1,6,2
103340,1,3, ,53,3,1,4,2
103351,2,1, ,58,7,1,99,2
103354,2,4,1,53,3,1,2,2
103356,2,2, ,73,3,9,99,8
103365,2,4, ,60,5,1,99,2
103372,1,4, ,66,3,1,99,2
103378,1,3, ,65,3,1,6,2
103383,2,3, ,45,3,1,6,2
103384,2,4, ,89,2,1,1,2
103386,2,4,1,65,4,1,4,2
103395,2,3, ,84,6,2,3,2
103400,2,3,1,63,3,1,5,2
103406,2,3, ,66,5,2,2,2
103411,1,3, ,82,7,1,3,2
103412,1,3,1,46,3,2,4,2
103418,1,4, ,50,5,2,4,2
103423,2,5, ,62,6,6,2,1
103425,2,2, ,47,3,6,4,1
103429,1,5, ,27,4,1,7,2
103431,2,3, ,60,7,1,99,2
103435,2,2,1,42,5,1,7,2
103439,2,1,1,34,6,1,4,2
103452,2,1, ,88,3,1,98,2
103468,2,3, ,63,6,1,99,2
103491,2,2, ,68,2,1,99,2
103495,2,3,1,54,6,1,3,2
103499,2,1,1,59,6,1,9,2
103518,1,4, ,77,3,1,7,2
103519,2,2,1,19,5,4,5,2
103543,1,3, ,25,6,1,5,2
103556,2,3, ,80,1,1,98,2
103572,1,4, ,51,3,1,7,2
103573,1,4, ,53,6,1,1,2
103576,1,3, ,76,3,1,7,2
103577,1,3,1,55,7,1,8,2
103587,1,5,1,55,5,1,8,2
103589,2,3, ,50,6,1,6,2
103591,2,2,1,60,6,1,6,2
103592,2,4, ,86,1,1,98,1
103599,2,3,1,76,3,1,2,2
103609,2,3, ,75,5,2,3,2
103611,2,3, ,80,3,2,6,2
103612,2,3, ,76,7,1,6,2
103615,2,1,1,42,4,1,6,2
103616,2,3, ,60,5,2,6,1
103617,2,3, ,78,4,1,4,2
103628,1,5, ,63,2,1,2,2
103630,1,4, ,69,3,2,99,2
103631,2,1, ,80,7,1,6,2
103636,2,2,1,60,7,1,8,2
103638,2,1, ,99,5,1,99,2
103645,2,3, ,84,3,1,1,2
103650,1,1,2,51,5,1,8,2
103652,1,2, ,36,3,1,7,2
103657,2,3,1,67,3,1,7,2
103660,1,4, ,99,3,1,98,2
103665,1,3,1,43,7,1,99,2
103669,2,1,1,21,5,3,8,2
103678,2,5,1,23,3,1,2,2
103684,1,1,1,42,5,5,4,2
103700,1,3,99,63,5,1,8,2
103701,1,1, ,40,7,1,8,2
103703,1,4, ,46,3,1,6,2
103705,1,4, ,83,2,1,99,2
103707,2,3,1,62,7,1,6,2
103709,2,4, ,98,9,1,99,2
103710,2,3, ,60,6,1,7,2
103713,1,1, ,70,5,1,4,2
103716,2,5, ,84,3,1,99,2
103717,2,4, ,48,5,1,6,1
103719,1,5, ,44,1,2,1,1
103720,1,3,1,35,7,8,9,1
103730,2,2, ,51,5,1,8,2
103743,2,3,1,67,5,1,4,2
103746,2,2, ,80,3,1,2,2
103748,2,2,1,62,5,1,6,2
103750,2,2,1,52,7,1,9,2
103751,2,3, ,82,6,1,3,2
103757,2,2,1,60,6,1,99,2
103760,2,4, ,56,3,1,99,2
103762,2,4, ,99,9,9,99,9
103773,1,2, ,31,3,1,3,2
103777,2,2,1,51,6,1,6,2
103780,2,3, ,71,3,2,2,2
103783,1,4, ,74,2,2,1,2
103789,2,3,1,78,3,1,3,2
103793,2,9, ,87,5,1,4,2
103798,2,2,9,31,3,2,2,2
103800,2,4, ,63,2,1,1,2
103815,1,2, ,69,5,1,6,2
103820,1,4, ,51,3,1,7,2
103822,2,5,1,62,5,1,5,2
103825,2,2,1,38,6,1,3,2
103826,2,4, ,70,3,1,99,2
103829,2,8,1,71,2,1,98,2
103830,1,3, ,70,3,2,2,2
103835,2,4, ,35,3,1,99,1
103844,2,4,1,26,3,1,5,2
103862,2,2,1,75,3,1,5,2
103867,2,2, ,78,5,1,99,2
103869,1,3, ,59,3,1,99,2
103885,1,2,1,56,5,1,5,1
103892,2,3, ,75,5,1,2,2
103893,1,3, ,73,7,1,9,2
103901,1,4,99,54,2,1,2,2
103916,2,3,1,44,6,1,8,2
103917,2,3, ,62,3,1,4,2
103930,2,2,1,66,5,1,99,2
103932,1,9,88,54,3,2,2,2
103941,1,4, ,30,7,9,7,1
103947,2,3, ,72,5,1,2,2
103964,2,4,1,56,5,1,4,2
103968,1,5,1,63,7,1,1,2
103971,2,2, ,83,1,2,98,2
103972,1,3, ,74,7,2,6,2
103979,2,2, ,68,3,1,6,2
103985,2,2, ,52,3,1,7,2
103988,1,5, ,64,9,1,1,2
104001,2,3, ,99,6,1,99,2
104002,2,3, ,97,5,1,2,2
104005,2,2,1,61,7,1,6,2
104007,2,2,1,44,5,1,8,2
104011,1,3, ,49,3,1,2,2
104017,2,2,1,64,5,1,7,2
104020,2,1, ,84,3,1,98,2
104022,1,1, ,64,7,1,8,2
104023,1,3, ,90,2,9,1,9
104025,2,1,1,20,5,1,7,2
104031,1,3,5,81,7,1,8,2
104033,1,5, ,24,1,1,2,2
104036,2,2, ,90,3,1,5,2
104041,2,2, ,52,5,1,6,2
104044,2,2, ,57,5,1,2,2
104046,1,5, ,86,7,1,99,2
104047,1,2,1,31,7,3,7,2
104050,2,3,1,63,7,1,4,2
104059,2,3,1,49,6,1,6,2
104061,1,2,5,38,6,1,5,2
104065,2,4,1,54,6,5,2,2
104071,1,2,1,59,5,1,9,2
104074,1,2, ,37,6,3,7,2
104075,1,3, ,67,5,1,7,2
104076,2,2, ,69,2,1,98,2
104081,2,2,1,51,6,1,99,2
104085,2,1,1,46,5,1,8,2
104086,2,2, ,49,7,1,6,2
104087,2,4, ,83,1,1,1,2
104088,2,1, ,41,5,4,8,2
104100,2,3, ,65,3,1,99,2
104102,2,1, ,52,3,1,6,2
104120,2,3, ,76,6,1,7,2
104132,1,2,1,59,7,1,8,2
104135,2,2,1,51,7,1,99,2
104156,2,4, ,77,5,1,3,2
104171,2,2, ,73,1,1,2,2
104172,2,2, ,78,3,1,99,2
104186,2,3, ,72,3,1,99,2
104187,2,3, ,53,6,1,6,2
104189,2,3, ,78,5,2,2,2
104190,1,5, ,57,3,1,1,2
104198,1,1, ,73,7,2,4,2
104201,2,1, ,97,5,1,1,2
104207,1,2, ,51,5,6,8,1
104208,2,2,1,56,7,1,7,2
104209,1,2, ,71,6,1,3,2
104216,2,3,1,26,6,1,6,1
104217,1,4,9,65,5,1,6,2
104221,2,1, ,70,2,1,1,2
104232,2,3, ,78,3,2,1,2
104236,2,3, ,48,3,5,3,2
104249,1,3, ,99,7,1,99,2
104252,1,3, ,59,2,2,5,2
104261,2,2, ,72,3,1,1,2
104264,2,3, ,38,6,2,6,2
104271,2,2,1,54,3,4,6,2
104274,1,1,1,72,5,1,7,2
104275,1,1, ,81,3,1,99,2
104280,2,3, ,53,3,1,2,2
104282,2,3,1,60,5,3,7,2
104283,2,2,1,19,3,2,2,2
104284,2,4, ,88,3,1,99,2
104286,2,4, ,67,6,2,3,2
104290,1,3, ,62,3,1,99,2
104293,2,4, ,67,5,1,1,2
104297,1,1, ,92,5,1,5,2
104299,1,1, ,70,3,1,3,2
104301,1,1,88,66,6,1,8,2
104306,1,3, ,61,3,1,5,2
104314,1,3,1,51,5,1,8,2
104326,2,3,1,60,5,8,4,2
104333,2,3, ,65,5,1,3,2
104339,1,3, ,29,2,1,98,2
104345,2,1, ,52,2,2,1,2
104348,2,3,1,59,5,1,5,1
104351,2,2,1,24,4,2,1,2
104355,2,1, ,60,5,2,99,2
104356,2,5, ,85,3,2,3,2
104361,1,2,1,50,6,2,6,2
104367,1,3, ,81,5,1,5,2
104379,2,4, ,86,2,1,2,2
104381,2,5,1,27,3,6,1,1
104382,2,5, ,72,3,1,1,2
104383,1,3, ,56,6,1,7,2
104384,1,3,1,37,5,1,8,2
104387,2,3, ,48,6,1,99,2
104394,2,3, ,64,5,1,5,2
104396,1,5, ,78,1,1,98,1
104401,1,3, ,52,5,1,7,2
104406,1,2, ,50,5,1,8,2
104407,2,1, ,62,5,1,3,2
104413,2,2, ,43,5,4,6,2
104421,2,3,1,35,3,3,7,2
104423,2,2,1,34,7,1,9,2
104453,1,3, ,62,5,1,99,2
104456,2,3, ,92,3,1,98,2
104467,2,3,1,62,7,1,6,2
104471,1,3, ,64,3,1,7,2
104472,1,8, ,70,5,1,2,2
104478,2,2, ,52,7,1,99,2
104485,2,1,1,45,7,1,9,2
104486,1,3, ,50,3,1,7,1
104489,2,3, ,99,7,1,99,2
104491,2,1, ,59,3,1,7,2
104493,1,3, ,60,5,2,9,2
104494,1,1,1,18,3,1,9,2
104497,1,2,1,33,6,1,7,2
104498,2,1, ,77,6,1,1,2
104499,2,3,1,70,6,1,8,2
104506,2,2,98,61,3,1,5,2
104511,2,2, ,73,3,1,2,2
104513,1,4,1,53,7,1,99,2
104523,1,2, ,53,6,1,8,2
104535,2,4, ,72,1,2,1,2
104536,1,2,1,24,3,1,5,2
104549,1,3,1,57,7,1,8,2
104556,2,4, ,80,2,1,3,1
104557,2,3,1,30,3,1,7,2
104558,1,4, ,24,3,1,3,2
104559,2,3,1,72,7,2,8,2
104569,2,2, ,37,7,6,99,1
104577,1,3, ,63,5,1,6,2
104581,2,3, ,66,4,1,99,2
104588,1,2,1,73,7,1,3,2
104589,2,5, ,64,2,2,5,2
104593,2,3, ,55,6,3,99,2
104599,2,4, ,28,3,2,2,2
104600,1,1,1,45,6,1,99,2
104609,2,2,1,40,7,1,6,2
104613,2,3,1,44,7,1,6,2
104615,2,3,1,49,5,1,8,2
104617,2,3, ,81,3,1,4,2
104619,2,2, ,85,5,1,3,2
104622,2,2,1,31,6,1,6,2
104623,2,1, ,76,3,1,98,2
104633,2,3, ,41,6,1,8,2
104635,1,3,1,39,3,1,7,2
104642,2,3,1,23,5,1,3,2
104655,2,2,1,24,6,5,6,2
104657,2,8, ,73,7,1,6,2
104658,2,1,1,61,6,1,9,2
104662,2,2,1,59,6,1,9,2
104665,2,2, ,60,5,1,6,2
104669,2,4, ,65,3,1,4,2
104675,1,4, ,65,4,1,6,2
104677,2,2, ,64,3,1,7,2
104684,1,3, ,49,5,1,6,2
104690,2,2, ,79,1,1,98,2
104695,2,3, ,58,3,1,7,2
104698,1,3, ,60,5,2,3,2
104700,2,2, ,88,3,1,99,2
104704,2,1, ,49,6,1,3,2
104705,2,2,1,99,7,1,5,2
104706,2,3, ,52,4,1,99,2
104710,2,2, ,71,3,2,4,2
104711,1,1, ,18,3,1,5,2
104716,2,3, ,91,4,1,99,2
104720,1,1, ,88,5,1,3,2
104722,1,4, ,40,6,1,7,2
104726,2,3, ,85,3,1,3,2
104729,1,1, ,78,7,1,9,2
104735,2,2, ,88,7,1,99,2
104753,2,2, ,56,3,1,6,2
104755,1,4, ,59,5,9,4,2
104762,2,2, ,78,6,1,4,2
104764,2,2, ,63,3,1,5,2
104769,1,2, ,71,3,1,1,2
104773,1,4, ,88,1,1,99,2
104774,1,2, ,70,3,1,5,2
104776,2,1,1,50,7,1,9,1
104779,1,4, ,72,1,2,2,2
104783,1,4, ,60,7,1,99,2
104788,1,2,1,42,6,1,7,2
104793,1,4, ,47,5,2,2,2
104794,2,2,1,68,6,1,6,2
104796,2,5, ,50,6,1,3,1
104798,2,4, ,73,3,2,1,2
104803,2,2, ,51,6,1,9,2
104805,2,3,1,36,3,1,7,2
104806,1,3,1,65,6,1,7,2
104811,2,4,1,35,3,1,98,1
104823,1,2,2,74,7,1,9,2
104824,2,4, ,57,6,1,5,2
104833,1,4,1,70,3,1,4,2
104842,2,4,1,54,3,1,99,2
104846,2,2, ,56,5,4,8,1
104852,2,3,1,21,5,1,98,2
104856,2,3, ,75,2,1,2,2
104857,2,2, ,99,9,9,99,9
104859,2,5,1,46,5,1,5,2
104860,1,3, ,35,3,2,6,2
104861,1,4, ,47,3,1,99,2
104870,1,4,1,19,3,1,1,1
104876,2,1,1,46,5,1,7,1
104877,2,3,1,55,6,1,99,2
104878,2,4, ,60,5,1,4,2
104882,1,1,1,73,7,1,9,2
104885,1,1, ,64,3,1,98,1
104889,2,4,1,34,2,1,3,1
104898,1,4, ,69,7,1,2,2
104907,2,2,1,40,7,9,7,2
104910,2,3,1,99,3,9,99,2
104911,2,3, ,31,3,3,6,2
104913,2,2,1,52,6,1,7,2
104919,2,3,1,60,4,1,3,2
104924,2,1,1,64,4,1,8,2
104940,2,2, ,50,3,1,3,2
104950,1,3,1,34,7,1,6,2
104952,1,2, ,80,6,1,2,2
104953,1,1,1,46,7,1,7,2
104967,1,2, ,63,5,1,7,2
104968,2,2,1,67,5,1,6,2
104974,1,2, ,50,7,1,9,2
104975,2,3, ,57,3,1,3,2
104977,1,2,4,49,3,1,3,2
104979,2,3, ,89,6,8,2,2
104981,2,3, ,64,3,1,3,2
104985,1,1,1,60,5,1,5,2
104987,2,2, ,82,2,2,98,2
104989,1,3, ,47,6,3,8,2
105002,1,3,1,50,6,1,4,2
105011,2,1,1,45,7,1,99,2
105017,2,4, ,81,3,1,98,2
105020,1,4, ,56,3,1,1,2
105022,1,4, ,49,3,1,1,2
105024,2,1,1,53,6,1,9,2
105033,1,2, ,29,7,1,9,2
105036,1,5, ,69,1,1,4,2
105045,2,2, ,85,5,1,99,2
105054,1,3, ,51,3,1,5,2
105056,1,4, ,77,3,2,1,2
105059,2,4,1,65,5,1,2,2
105062,2,1, ,80,3,1,99,2
105064,2,3,1,75,5,1,6,2
105066,1,2,1,38,3,1,9,2
105069,2,2,1,51,7,1,7,2
105070,1,3, ,70,6,1,5,2
105073,2,3, ,77,3,1,1,2
105079,2,5, ,75,1,1,98,2
105081,2,2,1,34,5,3,6,2
105086,1,3, ,69,7,5,7,2
105091,2,1,1,65,6,1,7,2
105093,2,2,1,24,6,1,8,2
105094,2,2,1,56,6,1,8,2
105095,2,2,1,45,5,1,7,2
105100,2,4,1,22,5,2,3,1
105102,1,2, ,28,5,1,1,2
105104,2,3,12,23,3,1,98,2
105106,2,1,1,63,5,1,7,2
105109,2,1,1,27,5,2,4,2
105116,2,2,1,18,3,4,4,1
105122,2,2, ,93,5,1,98,2
105126,2,3, ,99,9,1,99,2
105130,2,3,1,25,3,1,4,1
105131,2,2, ,66,5,1,3,2
105134,1,2,1,46,5,1,6,2
105145,2,1,1,31,6,1,9,2
105146,2,4, ,56,5,2,6,2
105160,2,1, ,23,5,9,98,2
105162,2,4,1,37,5,1,2,1
105164,1,3, ,66,3,4,6,2
105180,1,3,98,71,7,1,8,2
105198,2,3,1,37,3,1,3,2
105199,2,1,1,30,6,1,7,2
105205,2,2,1,18,2,6,3,1
105211,2,2,1,49,6,1,8,1
105212,2,1, ,63,5,1,99,2
105214,1,3, ,63,6,1,8,2
105215,1,3, ,64,3,1,2,2
105218,2,1,1,58,7,2,8,2
105222,1,3, ,71,3,1,1,2
105227,2,3, ,64,5,1,5,2
105236,2,4,1,28,3,1,3,2
105254,2,4, ,53,5,1,5,2
105257,1,4,1,50,5,1,4,2
105262,1,3,1,35,3,9,8,2
105265,1,1, ,71,5,2,1,2
105267,1,4, ,31,3,4,99,1
105269,1,2,1,61,7,1,99,2
105273,2,4, ,58,1,6,2,1
105282,1,2, ,64,5,1,6,2
105302,2,2, ,70,6,1,99,2
105317,2,1, ,75,3,1,1,2
105320,1,2,1,49,6,1,8,2
105323,1,1,1,58,6,1,99,2
105326,1,2,5,46,5,1,2,2
105327,1,1,1,18,3,1,9,2
105341,2,4, ,59,2,2,3,2
105347,2,2,1,23,5,1,6,2
105348,1,3, ,73,6,1,8,2
105349,2,1,88,83,5,1,4,2
105351,1,3, ,57,3,1,6,2
105354,1,2,1,67,7,1,8,2
105356,2,3,1,18,2,2,7,2
105358,1,5, ,87,3,1,2,2
105360,1,3, ,74,3,1,4,2
105361,1,1, ,66,5,1,5,2
105366,2,3, ,62,5,1,5,2
105369,1,3, ,76,3,2,4,2
105371,1,5, ,90,3,1,2,2
105380,2,4, ,80,7,1,99,2
105386,2,2,1,48,6,1,9,2
105389,2,3, ,54,6,1,99,1
105397,1,3, ,68,3,1,99,2
105401,2,1, ,79,3,1,99,2
105406,1,2, ,53,7,1,6,2
105410,2,2, ,57,6,2,6,2
105421,2,1,1,66,3,1,6,2
105422,2,3, ,59,2,1,98,2
105425,1,1,1,45,7,1,9,1
105432,2,2,1,42,6,1,7,2
105438,2,3, ,93,3,2,1,2
105440,2,3, ,68,7,1,99,2
105443,2,2, ,62,3,1,99,2
105448,2,3,1,78,3,1,3,2
105449,1,2,1,58,6,1,7,2
105450,2,3, ,84,3,1,2,2
105454,2,2, ,42,6,1,7,2
105458,2,4, ,86,5,1,99,2
105460,2,3, ,72,5,1,98,2
105465,2,3, ,71,3,1,2,2
105467,2,1,1,19,3,2,98,2
105468,2,3,1,59,6,1,1,2
105471,2,2, ,45,6,1,99,2
105472,2,4, ,62,2,1,3,2
105475,2,3,1,46,6,1,7,2
105480,2,4, ,62,5,1,1,2
105483,1,4,1,60,5,4,2,1
105487,1,1, ,83,6,1,99,2
105490,2,3, ,55,1,1,4,1
105494,1,3, ,57,6,1,8,2
105495,2,2,1,42,7,1,7,2
105504,2,2,1,60,5,1,4,2
105505,2,3, ,79,2,9,98,1
105508,2,3,1,69,6,1,6,2
105514,2,4, ,52,6,3,8,2
105521,1,1,1,62,6,1,8,2
105522,2,5, ,67,5,1,2,2
105526,2,4,1,42,5,2,2,2
105528,1,4,1,35,6,5,3,2
105530,1,1, ,67,7,1,99,2
105537,1,2, ,85,7,1,6,2
105538,2,3, ,99,6,1,5,2
105544,2,2, ,62,5,1,6,2
105548,2,3, ,72,1,1,3,2
105550,1,5, ,48,3,1,99,2
105556,2,1, ,68,7,1,99,2
105584,1,3, ,86,3,1,7,2
105603,2,1,1,59,6,1,9,2
105605,2,3, ,89,7,1,3,2
105610,1,3, ,39,3,1,9,2
105612,2,4,1,20,3,1,1,1
105615,2,3, ,65,2,1,1,1
105617,1,2,1,18,3,1,98,2
105624,2,1,1,73,6,1,5,2
105625,1,4, ,87,7,1,3,2
105629,2,3,1,32,5,1,6,1
105630,2,3, ,29,7,1,4,2
105633,1,1, ,46,6,1,8,1
105642,2,2, ,68,3,1,98,2
105663,2,1,1,48,5,1,8,2
105665,2,4, ,59,5,1,6,2
105686,2,2, ,55,7,1,6,2
105698,1,4,1,41,4,1,5,2
105703,1,2, ,28,5,1,6,2
105706,2,3,1,38,5,1,7,2
105708,2,1, ,76,3,1,98,2
105710,2,1,1,21,3,2,4,2
105712,1,1, ,45,1,2,6,1
105718,1,2, ,48,4,1,6,2
105720,1,2,1,65,7,9,9,2
105724,1,1, ,46,7,1,8,1
105732,2,1, ,72,7,2,8,2
105735,2,3, ,53,5,1,4,2
105740,2,3,1,48,7,1,7,2
105763,2,3, ,76,2,1,1,2
105766,1,3,1,31,6,1,7,2
105781,1,3, ,67,5,1,5,2
105786,1,2,1,40,3,6,5,1
105792,2,3,1,44,6,1,6,2
105794,1,4, ,75,6,1,99,2
105797,2,2, ,79,6,1,5,2
105799,1,1, ,70,5,1,7,2
105803,2,2,1,46,6,1,99,2
105806,2,4, ,54,5,1,1,2
105808,2,1,1,34,7,1,4,2
105811,2,1, ,88,5,1,6,2
105816,2,9,1,43,6,1,99,2
105830,2,1, ,56,6,1,1,2
105836,1,2, ,79,6,1,3,2
105838,1,4,2,50,7,1,8,2
105839,2,2, ,69,7,1,7,2
105844,2,1,1,40,6,1,7,2
105849,1,4, ,40,2,1,1,2
105850,2,3, ,55,3,8,98,1
105854,2,2,1,30,5,1,2,2
105871,2,3, ,63,2,1,3,1
105875,2,3, ,92,3,1,99,2
105892,1,1,1,74,7,1,5,2
105900,2,1, ,62,9,3,5,2
105908,2,1,1,33,7,1,7,2
105919,1,3, ,82,7,1,99,2
105926,2,1,99,35,6,9,99,2
105938,1,3, ,71,5,2,5,2
105950,1,5,1,99,6,1,7,2
105956,2,4, ,72,6,1,99,2
105958,2,3,1,55,6,1,6,2
105973,2,1,1,51,3,1,3,2
105985,2,1,1,48,7,1,9,2
105986,2,4, ,60,5,1,99,2
200001,1,4,1,48,5,2,5,2
200003,1,3, ,51,3,1,99,2
200005,1,2, ,61,4,1,9,2
200006,1,3, ,34,2,2,98,2
200010,1,4, ,50,3,1,2,2
200012,1,4,1,34,7,4,9,1
200016,1,3,1,18,2,2,6,2
200022,2,3, ,89,8,1,98,1
200025,1,2,1,18,3,2,5,2
200028,2,2, ,52,5,1,2,2
200035,1,3, ,59,5,1,2,2
200037,2,3,1,38,3,2,3,1
200040,1,3, ,18,2,9,98,2
200046,2,5,1,46,5,1,4,2
200048,1,1,1,44,3,1,6,2
200051,1,1,1,34,7,2,7,2
200056,2,2,1,25,6,1,99,2
200062,2,1,1,25,6,1,7,1
200063,1,3,1,19,5,2,98,2
200065,1,3,1,20,2,1,98,1
200070,1,4,1,22,3,2,2,2
200072,1,3, ,74,2,1,4,2
200077,2,4, ,52,3,1,3,2
200084,2,3,1,46,3,1,6,2
200089,1,1,99,40,5,1,99,2
200093,2,2,1,54,3,1,7,2
200099,2,4, ,51,2,1,2,2
200100,1,2, ,50,3,2,4,1
200109,1,4, ,36,6,1,9,2
200111,2,5, ,50,2,1,1,1
200112,1,1, ,59,5,2,7,2
200114,2,1,1,80,3,1,2,2
200115,1,1, ,43,2,6,1,2
200128,2,1,1,31,6,1,8,2
200135,2,2,88,60,7,5,2,2
200139,1,3,1,29,5,1,4,2
200143,2,2,1,19,3,3,98,2
200145,1,3, ,46,3,2,3,2
200148,2,2, ,47,6,1,8,2
200151,1,3, ,50,5,1,99,2
200153,2,2,1,21,5,6,5,1
200157,2,1,1,33,7,1,8,2
200161,2,4, ,74,3,1,2,2
200165,2,3,1,67,5,1,7,2
200170,1,3,2,59,6,1,7,2
200182,2,3,1,52,6,2,3,2
200187,1,2, ,46,3,1,4,2
200194,2,2,1,47,6,5,9,2
200195,1,4,1,36,6,1,8,2
200197,1,4,1,21,2,2,1,2
200198,1,4,1,24,5,2,98,8
200203,2,3,98,60,7,1,6,2
200214,2,1,1,31,6,3,98,2
200218,2,3, ,30,1,8,1,1
200230,2,3, ,55,6,1,7,2
200232,2,4,1,25,6,3,6,2
200237,2,2,1,21,5,1,6,1
200238,2,2, ,87,3,1,99,2
200239,1,4,1,21,3,1,7,1
200240,2,1,1,29,3,1,7,2
200251,2,1,1,25,6,1,4,2
200257,1,2,1,23,3,1,3,2
200259,2,3,1,19,5,1,9,2
200266,1,2,1,46,3,1,5,2
200271,2,3, ,48,5,1,2,2
200280,2,2,1,61,7,1,6,2
200283,2,3, ,63,3,2,98,2
200285,1,2,1,22,5,1,3,1
200294,1,2, ,60,3,1,3,2
200298,2,2,1,36,7,1,4,2
200300,2,4,1,51,7,1,7,2
200307,1,3, ,66,3,2,2,2
200314,1,2,88,19,3,1,5,2
200318,1,9, ,55,3,1,99,2
200323,1,3, ,62,5,2,6,2
200325,2,2,1,32,6,1,9,2
200335,1,2,1,28,5,6,99,1
200338,1,4,1,28,1,4,1,1
200341,2,2,1,44,6,1,6,2
200343,1,3, ,64,7,3,6,2
200359,2,1, ,29,3,2,1,1
200363,2,2, ,62,2,2,3,2
200366,1,4,99,53,7,1,9,1
200367,2,1, ,18,3,1,9,1
200368,1,3, ,18,1,2,98,1
200373,1,4,1,18,2,1,4,1
200375,2,3,1,54,5,1,7,2
200377,1,3,1,58,7,1,7,2
200379,2,2,1,45,3,1,3,2
200393,2,9, ,59,5,1,3,2
200400,1,1, ,57,6,9,8,2
200404,2,2, ,58,5,1,2,2
200409,1,1,1,18,5,1,6,2
200413,1,3, ,69,5,1,6,2
200414,1,3, ,70,3,1,98,2
200423,1,3,1,29,3,1,4,2
200433,2,1,1,23,2,1,3,2
200440,2,1,1,39,5,1,4,2
200441,2,2,1,31,3,1,4,2
200448,2,4,1,38,7,1,6,2
200449,2,2,99,42,6,4,99,2
200450,2,2,1,67,6,9,99,2
200452,1,1,1,42,2,6,6,1
200455,1,3, ,22,5,1,7,2
200457,2,1,1,23,3,1,4,1
200458,2,2,1,22,6,1,3,2
200461,1,1,1,26,3,1,4,2
200466,2,5, ,55,3,1,2,1
